Rok,Miesiąc,Wartość
2024,1,103.7
2024,2,102.8
2024,3,102
2023,1,116.6
2023,2,118.4
2023,3,116.1
2023,4,114.7
2023,5,113
2023,6,111.5
2023,7,110.8
2023,8,110.1
2023,9,108.2
2023,10,106.6
2023,11,106.6
2023,12,106.2
2022,1,109.4
2022,2,108.5
2022,3,111
2022,4,112.4
2022,5,113.9
2022,6,115.5
2022,7,115.6
2022,8,116.1
2022,9,117.2
2022,10,117.9
2022,11,117.5
2022,12,116.6
2021,1,102.6
2021,2,102.4
2021,3,103.2
2021,4,104.3
2021,5,104.7
2021,6,104.4
2021,7,105
2021,8,105.5
2021,9,105.9
2021,10,106.8
2021,11,107.8
2021,12,108.6
2020,1,104.3
2020,2,104.7
2020,3,104.6
2020,4,103.4
2020,5,102.9
2020,6,103.3
2020,7,103
2020,8,102.9
2020,9,103.2
2020,10,103.1
2020,11,103
2020,12,102.4
2019,1,100.7
2019,2,101.2
2019,3,101.7
2019,4,102.2
2019,5,102.4
2019,6,102.6
2019,7,102.9
2019,8,102.9
2019,9,102.6
2019,10,102.5
2019,11,102.6
2019,12,103.4
2018,1,101.9
2018,2,101.4
2018,3,101.3
2018,4,101.6
2018,5,101.7
2018,6,102
2018,7,102
2018,8,102
2018,9,101.9
2018,10,101.8
2018,11,101.3
2018,12,101.1
2017,1,101.7
2017,2,102.2
2017,3,102
2017,4,102
2017,5,101.9
2017,6,101.5
2017,7,101.7
2017,8,101.8
2017,9,102.2
2017,10,102.1
2017,11,102.5
2017,12,102.1
2016,1,99.1
2016,2,99.2
2016,3,99.1
2016,4,98.9
2016,5,99.1
2016,6,99.2
2016,7,99.1
2016,8,99.2
2016,9,99.5
2016,10,99.8
2016,11,100
2016,12,100.8
2015,1,98.6
2015,2,98.4
2015,3,98.5
2015,4,98.9
2015,5,99.1
2015,6,99.2
2015,7,99.3
2015,8,99.4
2015,9,99.2
2015,10,99.3
2015,11,99.4
2015,12,99.5
2014,1,100.5
2014,2,100.7
2014,3,100.7
2014,4,100.3
2014,5,100.2
2014,6,100.3
2014,7,99.8
2014,8,99.7
2014,9,99.7
2014,10,99.4
2014,11,99.4
2014,12,99
2013,1,101.7
2013,2,101.3
2013,3,101
2013,4,100.8
2013,5,100.5
2013,6,100.2
2013,7,101.1
2013,8,101.1
2013,9,101
2013,10,100.8
2013,11,100.6
2013,12,100.7
2012,1,104.1
2012,2,104.3
2012,3,103.9
2012,4,104
2012,5,103.6
2012,6,104.3
2012,7,104
2012,8,103.8
2012,9,103.8
2012,10,103.4
2012,11,102.8
2012,12,102.4
2011,1,103.6
2011,2,103.6
2011,3,104.3
2011,4,104.5
2011,5,105
2011,6,104.2
2011,7,104.1
2011,8,104.3
2011,9,103.9
2011,10,104.3
2011,11,104.8
2011,12,104.6
2010,1,103.5
2010,2,102.9
2010,3,102.6
2010,4,102.4
2010,5,102.2
2010,6,102.3
2010,7,102
2010,8,102
2010,9,102.5
2010,10,102.8
2010,11,102.7
2010,12,103.1
2009,1,102.8
2009,2,103.3
2009,3,103.6
2009,4,104
2009,5,103.6
2009,6,103.5
2009,7,103.6
2009,8,103.7
2009,9,103.4
2009,10,103.1
2009,11,103.3
2009,12,103.5
2008,1,104
2008,2,104.2
2008,3,104.1
2008,4,104
2008,5,104.4
2008,6,104.6
2008,7,104.8
2008,8,104.8
2008,9,104.5
2008,10,104.2
2008,11,103.7
2008,12,103.3
2007,1,101.6
2007,2,101.9
2007,3,102.5
2007,4,102.3
2007,5,102.3
2007,6,102.6
2007,7,102.3
2007,8,101.5
2007,9,102.3
2007,10,103
2007,11,103.6
2007,12,104
2006,1,100.6
2006,2,100.7
2006,3,100.4
2006,4,100.7
2006,5,100.9
2006,6,100.8
2006,7,101.1
2006,8,101.6
2006,9,101.6
2006,10,101.2
2006,11,101.4
2006,12,101.4
2005,1,103.7
2005,2,103.6
2005,3,103.4
2005,4,103
2005,5,102.5
2005,6,101.4
2005,7,101.3
2005,8,101.6
2005,9,101.8
2005,10,101.6
2005,11,101
2005,12,100.7
2004,1,101.6
2004,2,101.6
2004,3,101.7
2004,4,102.2
2004,5,103.4
2004,6,104.4
2004,7,104.6
2004,8,104.6
2004,9,104.4
2004,10,104.5
2004,11,104.5
2004,12,104.4
2003,1,100.5
2003,2,100.5
2003,3,100.6
2003,4,100.3
2003,5,100.4
2003,6,100.8
2003,7,100.8
2003,8,100.7
2003,9,100.9
2003,10,101.3
2003,11,101.6
2003,12,101.7
2002,1,103.4
2002,2,103.5
2002,3,103.3
2002,4,103
2002,5,101.9
2002,6,101.6
2002,7,101.3
2002,8,101.2
2002,9,101.3
2002,10,101.1
2002,11,100.9
2002,12,100.8
2001,1,107.4
2001,2,106.6
2001,3,106.2
2001,4,106.6
2001,5,106.9
2001,6,106.2
2001,7,105.2
2001,8,105.1
2001,9,104.3
2001,10,104
2001,11,103.6
2001,12,103.6
2000,1,110.1
2000,2,110.4
2000,3,110.3
2000,4,109.8
2000,5,110
2000,6,110.2
2000,7,111.6
2000,8,110.7
2000,9,110.3
2000,10,109.9
2000,11,109.3
2000,12,108.5
1999,1,106.9
1999,2,105.6
1999,3,106.2
1999,4,106.3
1999,5,106.4
1999,6,106.5
1999,7,106.3
1999,8,107.2
1999,9,108
1999,10,108.7
1999,11,109.2
1999,12,109.8
1998,1,113.6
1998,2,114.2
1998,3,113.9
1998,4,113.7
1998,5,113.3
1998,6,112.2
1998,7,111.9
1998,8,111.3
1998,9,110.6
1998,10,109.9
1998,11,109.2
1998,12,108.6
1997,1,117.8
1997,2,117.3
1997,3,116.6
1997,4,115.3
1997,5,114.6
1997,6,115.3
1997,7,114.9
1997,8,114.5
1997,9,113.6
1997,10,113.1
1997,11,113.2
1997,12,113.2
1996,1,121
1996,2,120.4
1996,3,120.4
1996,4,120.3
1996,5,119.8
1996,6,119.5
1996,7,120.4
1996,8,120.5
1996,9,119.5
1996,10,119.5
1996,11,119.1
1996,12,118.5
1995,1,132.3
1995,2,133.6
1995,3,133.1
1995,4,132.4
1995,5,132.3
1995,6,130.3
1995,7,127.6
1995,8,125.7
1995,9,124.2
1995,10,122.4
1995,11,122
1995,12,121.6
1994,1,132.4
1994,2,129.9
1994,3,130.2
1994,4,131.2
1994,5,131.2
1994,6,132.7
1994,7,132.8
1994,8,132.2
1994,9,134.6
1994,10,136.1
1994,11,133.5
1994,12,129.5
1993,1,137.5
1993,2,139.7
1993,3,139.7
1993,4,138.1
1993,5,135.8
1993,6,134.3
1993,7,134.8
1993,8,134.4
1993,9,131
1993,10,129.8
1993,11,133
1993,12,137.6
1992,1,145.4
1992,2,140.1
1992,3,138.1
1992,4,140.2
1992,5,143.2
1992,6,139
1992,7,141.3
1992,8,144.3
1992,9,146.5
1992,10,146.4
1992,11,145.4
1992,12,144.3
1991,1,194.9
1991,2,180
1991,3,181.8
1991,4,171
1991,5,167.8
1991,6,172.4
1991,7,168.3
1991,8,167.6
1991,9,167.1
1991,10,164.8
1991,11,162.7
1991,12,160.4
1990,1,1107.6
1990,2,1283.1
1990,3,1232.8
1990,4,1202.9
1990,5,1176.5
1990,6,1151.2
1990,7,1094
1990,8,848.5
1990,9,658
1990,10,456
1990,11,385.9
1990,12,349.3
1989,1,183.2
1989,2,170.3
1989,3,174.2
1989,4,177.8
1989,5,185.4
1989,6,191.3
1989,7,203.9
1989,8,282.7
1989,9,369.2
1989,10,557.1
1989,11,657
1989,12,739.6
1988,1,128.4
1988,2,147.6
1988,3,153.2
1988,4,153.6
1988,5,154.7
1988,6,156.1
1988,7,159.4
1988,8,160.9
1988,9,163.8
1988,10,165.9
1988,11,168.5
1988,12,173.9
1987,1,118.1
1987,2,119.2
1987,3,117.9
1987,4,123.1
1987,5,123.9
1987,6,125.8
1987,7,129
1987,8,128.9
1987,9,128.5
1987,10,128.2
1987,11,129.4
1987,12,131.3
1986,1,117.1
1986,2,117.8
1986,3,118
1986,4,119.2
1986,5,120.5
1986,6,118.2
1986,7,114.4
1986,8,115.2
1986,9,116.3
1986,10,117.9
1986,11,117.5
1986,12,117.1
1985,1,113.2
1985,2,110.3
1985,3,111.9
1985,4,111.6
1985,5,111.8
1985,6,113
1985,7,115.1
1985,8,115.4
1985,9,115.9
1985,10,116.1
1985,11,115.8
1985,12,116.7
1984,1,115.6
1984,2,113.4
1984,3,112.4
1984,4,111.4
1984,5,112.1
1984,6,112.9
1984,7,113.7
1984,8,112.5
1984,9,112.8
1984,10,112.6
1984,11,113.5
1984,12,114.2
1983,1,167.3
1983,2,131.5
1983,3,126.7
1983,4,126.9
1983,5,124.7
1983,6,123
1983,7,119.2
1983,8,119.3
1983,9,118.8
1983,10,118.5
1983,11,118.2
1983,12,118.2
1982,1,153.2
1982,2,206.4
1982,3,210.7
1982,4,204.1
1982,5,208.4
1982,6,211.9
1982,7,213.3
1982,8,214.9
1982,9,208.5
1982,10,201
1982,11,197.9
1982,12,175
